City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,pagar alam,-4.0167,103.2667,294.77,94,62,1.03,ID,1686498571
297,sao sebastiao do cai,-29.5867,-51.3756,287.09,94,100,0.63,BR,1686498571
298,luderitz,-26.6481,15.1594,287.29,77,0,1.29,,1686498571
299,adria,45.0564,12.0578,302.65,54,10,2.05,IT,1686498572
300,porbandar,21.6422,69.6093,302.83,71,98,12.22,IN,1686498572
301,korla,41.7597,86.1469,304.98,13,36,1.04,CN,1686498572
302,tukrah,32.5341,20.5791,296.62,69,14,1.99,LY,1686498572
303,watford city,47.8022,-103.2832,292.12,55,0,3.09,US,1686498335
304,alesund,62.4723,6.1549,294.76,45,0,4.12,NO,1686498573
305,kerikeri,-35.2268,173.9474,281.53,93,6,1.49,NZ,1686498573
306,nongpoh,25.9,91.8833,296.91,97,35,1.0,IN,1686498573
307,yanbu,24.0891,38.0637,311.17,27,0,9.26,SA,1686498416
308,soroca,48.1558,28.2975,290.17,78,100,6.8,MD,1686498573
309,sar-e pul,35.8333,66.1667,294.85,41,9,0.54,AF,1686498574
310,lompoc,34.6391,-120.4579,288.58,81,100,2.68,US,1686498574
311,ancud,-41.8697,-73.8203,280.42,77,92,0.71,CL,1686498574
312,san pedro martir,20.6196,-100.4711,301.36,28,9,0.82,MX,1686498574
313,shiraguppi,16.6164,74.7146,300.63,60,24,6.56,IN,1686498574
314,hithadhoo,-0.6,73.0833,301.54,74,69,3.29,MV,1686498575
315,bodo,67.28,14.405,283.68,96,100,12.86,NO,1686498575
316,mhamid,29.82,-5.72,311.77,8,0,3.33,MA,1686498575
317,guangming,45.3333,122.7833,288.7,91,100,4.42,CN,1686498575
318,remire-montjoly,4.9167,-52.2667,303.17,70,40,3.6,GF,1686498576
319,dazhong,33.1997,120.4578,292.34,87,25,2.41,CN,1686498576
320,fondettes,47.4035,0.5969,300.29,47,0,4.12,FR,1686498576
321,praia da vitoria,38.7333,-27.0667,294.29,78,20,2.41,PT,1686498576
322,ocumare del tuy,10.1165,-66.7761,305.43,65,77,0.47,VE,1686498576
323,kencong,-8.2833,113.3667,297.31,92,47,0.98,ID,1686498577
324,karratha,-20.7377,116.8463,294.48,37,0,3.56,AU,1686498577
325,timimoun,29.2639,0.231,315.36,6,0,4.12,DZ,1686498577
326,menongue,-14.6585,17.691,297.62,19,14,1.47,AO,1686498578
327,hadibu,12.65,54.0333,302.2,75,88,7.33,YE,1686498578
328,murun-kuren,49.6342,100.1625,289.39,90,96,3.27,MN,1686498578
329,korba,22.35,82.6833,307.12,25,58,1.28,IN,1686498578
330,merizo village,13.2658,144.6691,300.0,97,99,5.76,GU,1686498578
331,crane,31.3974,-102.3501,305.04,31,0,4.4,US,1686498579
332,carutapera,-1.195,-46.02,303.11,66,7,4.03,BR,1686498579
333,coahuayana de hidalgo,18.7,-103.6583,305.01,51,34,1.47,MX,1686498579
334,pokachi,61.7198,75.3683,283.71,78,100,5.56,RU,1686498579
335,vila do maio,15.1333,-23.2167,304.59,82,9,5.77,CV,1686498579
336,santa marta de ortigueira,43.6833,-7.85,291.5,82,96,2.54,ES,1686498580
337,tharad,24.3961,71.6267,309.32,36,22,9.03,IN,1686498580
338,callao,-12.0667,-77.15,297.44,64,100,2.57,PE,1686498580
339,hassi messaoud,31.6804,6.0729,311.07,20,0,3.09,DZ,1686498580
340,al wajh,26.2455,36.4525,305.12,45,0,6.17,SA,1686498580
341,afaahiti,-17.75,-149.2833,295.08,75,80,8.4,PF,1686498581
342,georgetown,5.4112,100.3354,303.11,79,20,0.0,MY,1686498581
343,la passe,45.5549,-0.8967,302.28,59,79,5.1,FR,1686498581
344,taksimo,56.3444,114.8794,293.5,55,72,1.96,RU,1686498581
345,porto franco,-6.3383,-47.3992,306.9,41,9,2.82,BR,1686498582
346,kuta,-8.7233,115.1723,300.12,94,40,3.6,ID,1686498582
347,alofi,-19.0595,-169.9187,296.09,94,86,5.66,NU,1686498582
348,colonia general alfredo stroessner,-25.3667,-55.7,286.89,96,98,3.91,PY,1686498582
349,krutinka,56.0055,71.5113,287.07,92,47,3.1,RU,1686498582
350,banamba,13.55,-7.45,314.09,16,34,0.22,ML,1686498583
351,pointe-du-lac,46.2869,-72.6845,296.92,62,0,1.54,CA,1686498583
352,aras-asan,8.8908,126.3033,299.27,89,100,2.65,PH,1686498583
353,markovo,57.3206,107.0881,284.42,87,99,1.44,RU,1686498583
354,san jose de jachal,-30.2406,-68.7469,279.08,34,4,1.88,AR,1686498583
355,djenne,13.9061,-4.5533,310.87,28,83,7.34,ML,1686498584
356,baise city,23.8997,106.6133,301.73,59,85,0.61,CN,1686498584
357,yeniseysk,58.4497,92.1703,282.18,62,0,1.03,RU,1686498584
358,pahrump,36.2083,-115.9839,297.56,32,99,1.34,US,1686498404
359,sakaiminato,35.55,133.2333,295.14,94,75,1.54,JP,1686498584
360,lerwick,60.1545,-1.1494,286.15,88,100,6.77,GB,1686498585
361,ilha de mocambique,-15.0342,40.7358,299.14,67,0,5.94,MZ,1686498586
362,ta`u,-14.2336,-169.5144,300.75,77,99,6.4,AS,1686498289
